mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,grid,0.260544457302339,0.9623320158102767,0.38698706928768967,0.04658827721361126,0.061029173004289644,0.07865371955233706,0.02767648894582964
si,64,0.5,0.001,0.0,60,5000,1000.0,5.0,grid,0.1970895263037271,0.8164426877470355,0.054488377307721055,0.056369143060751824,0.12099875241399347,0.10401579986833442,0.03022239742452613
si,64,0.5,0.001,0.0,90,5000,1000.0,5.0,grid,0.20348585737494085,0.9456916996047431,0.054488377307721055,0.05754498485658293,0.08218686445747099,0.07899934167215274,0.0020038763509740154
si,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,grid,0.26902098755561626,0.958498023715415,0.3840720532177293,0.11101015499732764,0.10197733836925128,0.0553982883475971,0.003170066686376926
si,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,grid,0.16191789872639611,0.7513438735177865,0.054488377307721055,0.06579369321218599,0.07611983661750381,0.021757735352205397,0.0020038763509740154
gen_replay,64,0.3,0.001,0.0,60,5000,1000.0,5.0,grid,0.74768675570184,0.9028458498023716,0.7153561551685477,0.7497594869053982,0.7495941072923966,0.6882817643186306,0.680283170723695
gen_replay,64,0.3,0.001,0.0,90,5000,1000.0,5.0,grid,0.8481543423727115,0.9703557312252964,0.9642723671425368,0.8156422590415108,0.7756396014560867,0.7831632653061225,0.7798528300647154
gen_replay,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,grid,0.8705728060774761,0.9358695652173913,0.9484079527617909,0.8724924282914662,0.8435903132637191,0.8044930875576037,0.8185834893728853
gen_replay,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,grid,0.8358248807264587,0.9767786561264822,0.842140668211376,0.8164439693568502,0.8089142583699349,0.7675115207373272,0.803160211556782
gen_replay,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,grid,0.4494874962477706,0.48312252964426877,0.6091636146199267,0.7774095848922145,0.13256883085809992,0.21570111915734036,0.47895929831477285
gen_replay,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,grid,0.7507297166120114,0.9152569169960474,0.6439008894536213,0.7432567254587564,0.7605831182814076,0.7306287030941409,0.710751946388095
gen_replay,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,grid,0.29066467555269043,0.5590711462450593,0.08169519396068466,0.20425797256369144,0.23827183702766908,0.31347926267281107,0.3472126408462271
