mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
gen_replay,64,0.5,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.6860192336277219,0.7763833992094862,0.25885716421257193,0.7177267058613932,0.7919436706372943,0.7792626728110599,0.7919417890345258
gen_replay,64,0.5,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.8358281940317748,0.9861660079051383,0.8811383511473204,0.8408694102975236,0.7176524874814144,0.7885121790651745,0.8006307282940771
gen_replay,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.8049539719594878,0.9569762845849802,0.7517564840421557,0.7776768216639943,0.7943192111154787,0.7779953917050692,0.7709996386452482
gen_replay,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.7570006231140854,0.8947628458498024,0.46311383511473203,0.8166043114199181,0.7522772717173961,0.8145490454246215,0.8006964291580434
naive,256,0.5,0.0005,0.0,60,5000,500.0,2.0,False,random,0.1933579988322269,0.993794466403162,0.054488377307721055,0.04657046142882594,0.040743082733751476,0.022547728768926925,0.0020038763509740154
naive,256,0.5,0.0005,1e-05,60,10000,1000.0,10.0,True,random,0.20180933064973605,0.9905731225296442,0.054488377307721055,0.04657046142882594,0.08023857946097449,0.0369815668202765,0.0020038763509740154
naive,64,0.3,0.0001,0.0,60,2000,500.0,10.0,False,random,0.28222552166458587,0.5514822134387352,0.49928993198295835,0.29420986994477105,0.14222480474424487,0.09507899934167215,0.11106731053513354
naive,128,0.5,0.0001,0.0,60,2000,500.0,10.0,True,random,0.15032463911167263,0.5584782608695652,0.05323641527767397,0.046392303580972745,0.0842718712081076,0.08097432521395655,0.07859465851975954
naive,256,0.0,0.0001,1e-05,90,10000,2000.0,5.0,False,random,0.20760880377703197,0.8897628458498024,0.054488377307721055,0.07822911099233922,0.0836395330952096,0.09873271889400921,0.04080023652311028
naive,256,0.3,0.0001,0.0,90,10000,500.0,10.0,False,random,0.20742315285796595,0.9658102766798419,0.054488377307721055,0.04657046142882594,0.08524601370635586,0.08971362738643844,0.002710160638612398
naive,64,0.0,0.001,1e-05,60,2000,1000.0,5.0,True,random,0.1979928779846578,0.9751778656126482,0.06390612153374692,0.04657046142882594,0.08507511151368072,0.0152238314680711,0.0020038763509740154
naive,64,0.5,0.001,1e-05,120,10000,500.0,10.0,False,random,0.19960181003399358,0.9858498023715415,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.06797235023041474,0.0020038763509740154
naive,256,0.3,0.001,0.0,60,5000,1000.0,5.0,True,random,0.20356734180680391,0.9997628458498024,0.054488377307721055,0.04657046142882594,0.0818108796335857,0.036767610269914416,0.0020038763509740154
naive,128,0.0,0.0001,0.0001,120,2000,1000.0,2.0,False,random,0.17775286643807264,0.7360276679841897,0.054488377307721055,0.04657046142882594,0.0853143745834259,0.09089861751152074,0.05321769981275254
naive,64,0.5,0.0005,0.0001,60,5000,500.0,2.0,False,random,0.18603566587795076,0.630197628458498,0.24263771582330518,0.05195082843399252,0.11677746825491771,0.07264647794601711,0.0020038763509740154
naive,128,0.3,0.0005,0.0,60,5000,2000.0,5.0,True,random,0.20602320755915546,0.9502371541501976,0.054488377307721055,0.04657046142882594,0.08425478098884008,0.09858459512837393,0.0020038763509740154
rehearsal,128,0.3,0.0005,1e-05,90,2000,1000.0,5.0,False,random,0.6626792332396302,0.9899407114624506,0.4459227147021452,0.5746659540352752,0.6546237588228258,0.6522053982883476,0.658716862126737
rehearsal,128,0.5,0.0005,0.0,120,2000,1000.0,2.0,False,random,0.5798444277203557,0.9935770750988142,0.46812168323492037,0.4691430607518261,0.40638832396219643,0.5023370638578012,0.6394993594165763
rehearsal,256,0.0,0.0005,1e-05,90,10000,500.0,2.0,True,random,0.9279117681395884,0.999802371541502,0.967542417221018,0.9199893105291288,0.8789670671474715,0.8999835418038183,0.9011859005945928
rehearsal,64,0.0,0.0001,1e-05,60,10000,1000.0,10.0,False,random,0.20300139974744014,0.5593675889328064,0.08881456013154944,0.10345626224835204,0.11033445559106524,0.17340355497037524,0.18263197661049244
rehearsal,64,0.3,0.001,0.0,120,5000,2000.0,2.0,False,random,0.8913215946568814,0.9906324110671937,0.9318147843635548,0.9060751826117941,0.7928494522584725,0.8712146148782094,0.8553431227620644
rehearsal,64,0.3,0.0005,0.0,90,5000,2000.0,2.0,False,random,0.8381970475334627,0.7207707509881423,0.9541819269003663,0.8546944592909318,0.81554526344573,0.8169848584595129,0.8670050261160934
rehearsal,128,0.5,0.0005,1e-05,120,10000,2000.0,10.0,True,random,0.9345186639997239,0.9928260869565217,0.975633455415203,0.9131124176019954,0.930101003195871,0.9009710335747202,0.8944679872540324
rehearsal,128,0.5,0.0005,0.0001,120,5000,2000.0,2.0,False,random,0.9023420738374156,0.9958102766798419,0.942615292622767,0.9185818635310885,0.8457778613299609,0.8636603028308097,0.8476068460300253
rehearsal,256,0.3,0.0005,1e-05,120,5000,500.0,2.0,True,random,0.8919244960748657,0.9996640316205534,0.9419239106061739,0.8628184571530376,0.8244321774648369,0.8683015141540488,0.8544068854505437
rehearsal,64,0.5,0.0001,0.0001,60,10000,1000.0,5.0,False,random,0.6301381528587763,0.4643083003952569,0.5321212347709097,0.5901300552289328,0.6357048860936886,0.7255760368663594,0.8329884037975099
