mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,attn_drop,negative_slope,residual,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,64,0.3,0.001,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5287972116115774,0.703794466403162,0.6852530084460722,0.5939604489577766,0.45948763522635994,0.3883311389071758,0.34195657172891825
si,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.473458760599112,0.5843675889328063,0.5616451154794828,0.4870122928915019,0.43219455505614135,0.40164581961816986,0.37388719161656975
si,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5674386820749432,0.7031225296442688,0.692372374616937,0.621396757527169,0.5079384068497599,0.45169519420671495,0.4281068296048093
si,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.4476476160211107,0.6922924901185771,0.6220943269302639,0.4886513450917513,0.3183395142959684,0.28178077682685976,0.28272724286324363
si,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4788850291321547,0.6581422924901186,0.6624374018984976,0.566239087831819,0.37651462068258335,0.32463791968400263,0.2853388522059065
si,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.2732411404162345,0.46804347826086956,0.3017228492413484,0.248245145198646,0.23346948541349785,0.1978604344963792,0.190105449886666
si,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.4860965222880624,0.6192885375494072,0.574501083788026,0.5258863352930696,0.49824825252507987,0.36482883475971034,0.33382608981308104
si,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.33775022102716984,0.47790513833992093,0.42869422228866133,0.36835916622127207,0.31020456992463213,0.26683673469387753,0.17450149469465523
si,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.37542402152720217,0.4811067193675889,0.44192391060617386,0.3900409763050062,0.3879479773725497,0.2862080315997367,0.26531651391215794
gen_replay,64,0.3,0.001,0.0,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.4972099269327561,0.5203162055335968,0.4835376336049032,0.49369321218599677,0.5075966024644096,0.4889565503620803,0.4891593574455504
gen_replay,64,0.3,0.001,0.0,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.5931890157980418,0.534802371541502,0.6217019209208461,0.644343488330661,0.6074547536444893,0.5813693219223173,0.5694622384284354
gen_replay,64,0.3,0.001,0.0,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5149520022136466,0.5026482213438735,0.5017004260408102,0.5091573133796544,0.5235075966024644,0.5195687952600395,0.5331296606550376
gen_replay,64,0.3,0.001,0.0,15,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.6759166029795559,0.7319762845849802,0.7490470139771284,0.6867806876892927,0.6508980910225078,0.6205562870309415,0.6162412535724845
gen_replay,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5093161179598552,0.5297035573122529,0.5042043501009044,0.5257616247995724,0.5024011758070857,0.49274193548387096,0.5010840642554449
gen_replay,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,4,0.2,0.2,False,grid,0.665369051531321,0.7077865612648221,0.7051535989236863,0.6856226616782469,0.6601609898655,0.6259710335747202,0.60751946388095
gen_replay,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,2,0.2,0.2,False,grid,0.5907887555050151,0.6107509881422925,0.6174041408176993,0.6065027614466417,0.5906037974467212,0.5624917709019092,0.5569790742748267
