mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
gen_replay,64,0.3,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8321480652639703,0.9821146245059289,0.8488115703714777,0.783342241225726,0.8037188317126108,0.7879526003949967,0.7869485233730824
gen_replay,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.803086125571197,0.9239920948616601,0.9100829658419912,0.757491537502227,0.7069369200006836,0.7495556287030941,0.7704576065175257
gen_replay,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8174361928141468,0.9788932806324111,0.9162119739890874,0.703402814893996,0.7552851503084784,0.7644502962475312,0.7863736408133767
gen_replay,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.6759583036079979,0.7863043478260869,0.7338739816129756,0.6551933012649207,0.6559226154871567,0.6090520078999342,0.6154035675569134
gen_replay,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.577420139808638,0.7855731225296443,0.9172210180133045,0.47185106003919475,0.36292789636491035,0.41338051349572086,0.5135672284090536
gen_replay,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.553061882837487,0.4258102766798419,0.6817213543613125,0.5048280776768217,0.5186539743304907,0.5713627386438447,0.6159948753326107
gen_replay,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.7273826226464405,0.9234782608695652,0.6286717990881232,0.5839836094779975,0.7249500111086425,0.7340684660961159,0.7691435892381985
gen_replay,64,0.5,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.8075854620015915,0.9536561264822134,0.8742619029822857,0.7409228576518796,0.7581733973646881,0.7477452271231073,0.7707532604053743
gen_replay,64,0.5,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8460824461983482,0.9316600790513834,0.8315643919575454,0.8239622305362552,0.8331140088527336,0.8147630019749835,0.8414309648171874
gen_replay,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.75409047591398,0.7136166007905138,0.9161559159877419,0.7418849100302868,0.6650487925760088,0.725164581961817,0.7626720541375119
gen_replay,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.782212641829264,0.9193675889328063,0.7037708348905001,0.6994298948868698,0.7890212431425495,0.7805299539170507,0.801156335205808
naive,128,0.3,0.0001,0.0,120,5000,2000.0,2.0,1,0.2,0.2,random,0.2491083600288677,0.8550197628458498,0.356715748561178,0.06205237840726884,0.07625655837164391,0.0728275181040158,0.07177819388324956
naive,128,0.5,0.0005,0.0,120,10000,2000.0,10.0,1,0.2,0.2,random,0.19362527022114714,0.9811660079051383,0.054488377307721055,0.04657046142882594,0.04863876403534257,0.028884134298880842,0.0020038763509740154
naive,64,0.5,0.0005,1e-05,60,2000,500.0,2.0,2,0.0,0.0,random,0.20965720999846024,0.901501976284585,0.05521713132521115,0.06429716729021913,0.1157178746603319,0.09387755102040816,0.027331559410006243
naive,256,0.5,0.001,0.0001,120,2000,500.0,10.0,1,0.2,0.2,random,0.1957789331846691,0.9941501976284585,0.054488377307721055,0.04657046142882594,0.04072599251448396,0.036734693877551024,0.0020038763509740154
