mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,pool,grid,0.20233114556638088,0.9522529644268775,0.05598325734359818,0.04159985747372172,0.043665510228496233,0.06053324555628703,0.05995203836930456
si,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,mean,grid,0.26628769743900244,0.9560474308300395,0.3528664324687944,0.06666666666666667,0.08092218823167502,0.09809084924292298,0.0431326171939161
si,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,pool,grid,0.2488089625579543,0.9661462450592886,0.25895059421481426,0.14063780509531446,0.07610274639823629,0.04901250822909809,0.0020038763509740154
gen_replay,64,0.3,0.001,0.0,60,5000,1000.0,5.0,mean,grid,0.827421325803484,0.9792885375494071,0.7383399357201584,0.8466951719223231,0.7609078324474903,0.8085911784068466,0.8307052987746789
gen_replay,64,0.3,0.001,0.0,60,5000,1000.0,5.0,pool,grid,0.8022285683010774,0.9514426877470356,0.7064055609537334,0.7477284874398717,0.8367713157759814,0.7626563528637261,0.8083670050261161
gen_replay,64,0.3,0.001,0.0,90,5000,1000.0,5.0,mean,grid,0.8457606602434731,0.9872727272727273,0.9022909036549817,0.6909852128986281,0.812281031565635,0.8388084265964451,0.842925659472422
gen_replay,64,0.3,0.001,0.0,90,5000,1000.0,5.0,pool,grid,0.8833875225954765,0.9910671936758894,0.8756259810150235,0.8817922679494031,0.8660468613812315,0.8232718894009217,0.8625209421503893
gen_replay,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,mean,grid,0.8242260469846,0.9869762845849802,0.7442633978623215,0.7382326741492963,0.820809050980124,0.8218729427254773,0.8332019316054006
gen_replay,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,pool,grid,0.7949841882573426,0.9533596837944665,0.806861499364676,0.7033137359700695,0.7553876916240836,0.7452271231073074,0.8057553956834532
gen_replay,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,mean,grid,0.8662245357118582,0.9884584980237154,0.9479408027505792,0.8092820238731516,0.8189803975185002,0.812771560236998,0.819913931868204
gen_replay,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,pool,grid,0.8454956932164412,0.9857114624505929,0.8345728380297481,0.8014608943523962,0.8107429118315588,0.8038676761026992,0.8366183765316514
gen_replay,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,mean,grid,0.6381889541955633,0.8424703557312253,0.8933963674415129,0.7181542846962409,0.2956095226701759,0.4697827518104016,0.6097204428238231
gen_replay,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,pool,grid,0.6458541316590434,0.6096640316205534,0.6340533672172808,0.7770176376269374,0.6586912310084938,0.5780118499012509,0.6176866725797444
gen_replay,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,mean,grid,0.8539932440137962,0.9650197628458498,0.9066073697585769,0.7988419739889542,0.8216635619434998,0.8186800526662278,0.8131467428796688
gen_replay,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,pool,grid,0.8259864428663527,0.9855533596837944,0.7921369310112863,0.7620345626224835,0.8230136892656332,0.7786208031599736,0.8145593114549456
naive,64,0.3,0.0001,0.0,90,5000,500.0,5.0,gcn,random,0.31774977213509087,0.5519762845849803,0.5105949622542791,0.3313023338678069,0.2619930613709774,0.13095786701777484,0.11967412371472685
naive,256,0.0,0.0001,0.0,120,10000,2000.0,10.0,gcn,random,0.21179921737583285,0.8460671936758893,0.05460049331041184,0.08036700516657759,0.08480166800540051,0.10090520078999342,0.10405374330672448
naive,64,0.5,0.0001,1e-05,120,5000,1000.0,5.0,lstm,random,0.27039730295012093,0.8840118577075099,0.19031691456760594,0.08629966150008908,0.12050313605523559,0.1403225806451613,0.200929667225124
naive,128,0.5,0.0005,0.0001,60,10000,500.0,10.0,lstm,random,0.21497583169834425,0.9838142292490119,0.054488377307721055,0.06324603598788527,0.08934766633055902,0.0967412771560237,0.0022174041588646893
naive,64,0.3,0.0005,1e-05,90,5000,1000.0,10.0,gcn,random,0.19809327258965623,0.9233596837944664,0.10439868450556843,0.05391056476037769,0.09876437714695879,0.006122448979591836,0.0020038763509740154
naive,64,0.0,0.001,0.0,120,10000,500.0,5.0,gcn,random,0.2177632053775985,0.9892490118577075,0.054488377307721055,0.053144486014608944,0.07177892092355545,0.09631336405529954,0.041605072106698206
naive,128,0.5,0.001,1e-05,90,2000,1000.0,2.0,lstm,random,0.23325614712995899,0.998201581027668,0.2594551162269228,0.04657046142882594,0.05663698665253875,0.036668861092824225,0.0020038763509740154
naive,256,0.5,0.0001,0.0001,60,10000,2000.0,5.0,gcn,random,0.16150909824027815,0.6540711462450592,0.1549256297182151,0.0394263317299127,0.04183685676687232,0.042412771560237,0.03638185342137249
naive,128,0.0,0.0005,0.0001,60,5000,2000.0,2.0,gcn,random,0.2387637448427226,0.9389328063241107,0.18850437252410493,0.07439871726349545,0.08895459128740622,0.11130678077682686,0.030485200880391576
naive,64,0.5,0.0001,1e-05,90,2000,500.0,5.0,pool,random,0.13923225742480813,0.46616600790513835,0.19781000074744,0.10978086584714057,0.04207611983661751,0.015454246214614878,0.004106303997897572
naive,256,0.5,0.0005,0.0,60,2000,1000.0,2.0,pool,random,0.2056291464897925,0.979802371541502,0.054488377307721055,0.04657046142882594,0.08512638217148326,0.06578341013824884,0.0020038763509740154
naive,128,0.0,0.0005,1e-05,120,2000,2000.0,10.0,gcn,random,0.2162665954196428,0.9751185770750989,0.054488377307721055,0.04657046142882594,0.08524601370635586,0.0957044107965767,0.040471732203278474
rehearsal,128,0.5,0.0001,0.0001,90,10000,500.0,10.0,lstm,random,0.895819345102922,0.9559090909090909,0.8662642947903431,0.9033493675396401,0.8964161810196025,0.8750329163923634,0.8779442199664925
rehearsal,256,0.0,0.0005,1e-05,60,10000,2000.0,5.0,lstm,random,0.9390829488985252,0.9866403162055336,0.974549667389192,0.9233564938535542,0.9217609761933245,0.917034233048058,0.9111560067014881
rehearsal,128,0.0,0.001,0.0001,90,2000,1000.0,5.0,gcn,random,0.7123865074366363,0.9875889328063241,0.738358621720607,0.6331729912702655,0.6456343034881138,0.6361257406188282,0.6334384547156795
rehearsal,256,0.0,0.0005,0.0,120,5000,1000.0,5.0,mean,random,0.9028884610298796,0.9986363636363637,0.9785671574856117,0.8453411722786389,0.8630560730094167,0.8621790651744569,0.8695509345947899
rehearsal,64,0.3,0.0005,1e-05,120,2000,2000.0,5.0,gcn,random,0.3220345176286935,0.9850790513833992,0.5284774646834591,0.07634063780509531,0.09447473211081298,0.12052337063857801,0.12731184915081634
